prompt,target,prediction
I am looking for one in San Francisco. [CONFIRM(restaurant_name=Tandoori Mahal Indian Restaurant); CONFIRM(location=San Francisco); CONFIRM(time=12:30 pm); CONFIRM(date=March 13th); CONFIRM(number_of_seats=2)],"Look through your request. You need a table at Tandoori Mahal Indian Restaurant in San Francisco at 12:30 pm on March 13th. There will be 2 people, right?",I am looking for one in San Francisco.
"Fine, what about food category. [INFORM(category=Indian); NOTIFY_SUCCESS]",You will get Indian food. Your booking confirmed.,What about food category?
Get me their phone number. What is their rating? [INFORM(phone_number=415-951-0505); INFORM(rating=3.4)],Contact them on 415-951-0505. they have 3.4 rating.,What is their rating?
"Good service, thank you. [GOODBYE]",Have a great day.,"Good service, thank you."
"I want to have a table booked for me at a restaurant, because I want to have a meal. [REQUEST(restaurant_name=)]",Can you tell me the restaurant you are interested to have a table booked at?,I want to have a table booked for me at a restaurant.
Can you check if you can make a booking of a table at Castle Rock? [REQUEST(time=)],Can you tell me the time that you want to have the table booked for you?,Can you make a reservation for a table at Castle Rock?
I prefer to have the booking be made for 12:00. [REQUEST(location=)],Is there a specific location you are looking for?,I prefer to have the reservation made for 12:00.
I am interested in restaurants which are located in Livermore. [CONFIRM(restaurant_name=Castle Rock Restaurant); CONFIRM(location=Livermore); CONFIRM(time=12 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],"Can you please confirm that you want to book a table for 2 people at Castle Rock Restaurant in Livermore, and that you want the table to be booked for you for 12 pm on March 1st?",? I am interested in a restaurant located in Livermore.
That is not right. Could you please see if you can make a booking at Mcdonald's? [CONFIRM(restaurant_name=Mcdonald's); CONFIRM(date=March 1st)],Can you please confirm that you want to have a table booked for you on March 1st at Mcdonald's?,Can I make a reservation at Mcdonald's?
I don't want that either. See if you can find me restaurants in Pittsburg. [CONFIRM(location=Pittsburg); CONFIRM(time=12 pm)],Can you please confirm that you want to have a table booked for you at 12 pm in the city of Pittsburg?,I have a good time. I have a good time. I have a good time. I have a good time.a? I have a good time. I'm looking for a restaurant in Pittsburg. that. in Pittsburg. Pittsburg.
Yes that suits me well. Could you inform me about the fact how expensive is the restaurant? [INFORM(price_range=cheap); NOTIFY_SUCCESS],"Your requested booking has been made, and the restaurant is considered as cheap.",Is there anything else I can do to help you with?
I appreciate it very much. That would be all. [GOODBYE],Have a wonderful day.,I appreciate it.
I'd like to book a table for 1 this sunday somewhere in half moon bay. [REQUEST(restaurant_name=); REQUEST(time=)],Which restaurant? And what time should the booking be for?,I'd like to book a table for 1 this sunday somewhere in half moon bay.
"Could you find something at Miramar Beach, quarter past 11 in the morning? [CONFIRM(restaurant_name=Miramar Beach Restaurant); CONFIRM(location=Half MOon bay); CONFIRM(time=11:15 am); CONFIRM(date=march 3rd); CONFIRM(number_of_seats=1)]",Please confirm: You want to book a tale at the Miramar Beach Restaurant in Half MOon bay at 11:15 am on march 3rd for 1.,"Is there anything else I can find at Miramar Beach, quarter past 11 in the morning?"
"Exactly. What is their address, and what's the user rating? [INFORM(rating=4.2); INFORM(address=131 mirada road); OFFER(restaurant_name=Miramar Beach restaurant); OFFER(number_of_seats=1); OFFER(date=march 3rd); OFFER(time=11:30 am); NOTIFY_FAILURE]","Their address is 131 mirada road, and they have a rating of 4.2 Sorry, I couldn't make that reservation at the Miramar Beach restaurant, however, they have an opening for 1 on march 3rd at 11:30 am, would that work?",What is their address?
Yes. [NOTIFY_SUCCESS],Your reservation was successful.,[NOTIFY_SUCCESS]
Thank you so much. [REQ_MORE],Do you need anything else?,I have been able to help you with your project.
Nope! Thank you! [GOODBYE],"You're very welcome, have a good day.",Thank you!
"I would like to take this girl I like out for a casual meal on the 3rd of this month, when I get paid so something around eleven am would be perfect. Can you help me locate a restaurant in Palo Alto? [REQUEST(restaurant_name=)]","Not a problem, is there a specific restaurant you had in mind?",the meal is at 11 am. I am a girl. I am a vegetarian and would love to take this girl out for a casual meal on the 3rd of this month.
"Yes, I've heard really good things about a restaurant called Lotus. [CONFIRM(restaurant_name=Lotus Thai Bistro); CONFIRM(location=Palo Alto); CONFIRM(time=11 am); CONFIRM(date=March 3rd); CONFIRM(number_of_seats=2)]","Great, before I get you set up with a reservation can you just confirm that everything I have is correct? I have a table for 2, at Lotus Thai Bistro located in Palo Alto on March 3rd, at 11 am. Does this sound correct?","Yes, I've heard really good things about a restaurant called Lotus."
Yes everything you have is correct. [OFFER(restaurant_name=Lotus Thai Bistro); OFFER(number_of_seats=2); OFFER(date=March 3rd); OFFER(time=11:30 am); NOTIFY_FAILURE],"I'm sorry to inform you that I was not able to make that reservation for you, however, would you like me to try to set a new reservation for 2 at Lotus Thai Bistro on March 3rd for 11:30 am?",Is there anything else I can help you with?
"No, that won't work but thank you any way. [GOODBYE]","My pleasure, again I am sorry and have a nice day!",Is there anything else I can do to help you with?
I want to make a restaurant reservation somewhere please. [REQUEST(location=)],What is the location you'd like?,I have a restaurant in the area.
I am in Palo Alto. [REQUEST(restaurant_name=)],Is there a restaurant in particular you would like?,I am in Palo Alto.
"Yes, Anatolian please for 3 people, if you would. [REQUEST(time=)]",A reservation for what time please?,"Yes, Anatolian please for 3 people, if you would like to."
Would you try for 12:30? [CONFIRM(restaurant_name=Anatolian Kitchen); CONFIRM(location=Palo Alto); CONFIRM(time=12:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=3)],Confirming a table for 3 on March 1st at 12:30 pm in Palo Alto at Anatolian Kitchen.,Would you like to try Anatolian Kitchen for 12:30 pm?
"Oops, please change that to one person. [CONFIRM(time=12:30 pm); CONFIRM(number_of_seats=1)]",Confirming a 12:30 pm reservation for a party of 1.,Is there any other person I can help you with?
"Okay, thanks. I'm wondering if they have vegetarian choices on their menu. Also, what kind of menu do they have in general? [INFORM(category=Mediterranean); INFORM(has_vegetarian_options=True); NOTIFY_SUCCESS]","They serve Mediterranean cuisine and they also do offer vegetarian selections. Congratulations, your table has been booked.",I'm wondering if they have vegetarian options on their menu.
Wonderful. Thank you for helping me. [REQ_MORE],Is there anything else you need?,Thank you for your wonderful work.
"No, that's all I needed. [GOODBYE]",Thank you very much.,[GOODBYE]
"Hi there, could you get me a table at a restaurant on the 14th of March at 1:30 pm please? [REQUEST(restaurant_name=)]","Sure, any particular restaurant are you interested in ?","Hi there, could you get me a table at a restaurant on the 14th of March at 1:30 pm?"
Could you get me a reservation at Schroeder's please? [REQUEST(location=)],"Sure, and which location would you prefer?",Is there anything else I can help you with?
A table for two at San Francisco will be fine. [CONFIRM(restaurant_name=Schroeder's); CONFIRM(location=San Francisco); CONFIRM(time=1:30 pm); CONFIRM(date=March 14th); CONFIRM(number_of_seats=2)],Please confirm you reservation at Schroeder's in San Francisco for 2 at 1:30 pm on the March 14th.,A table for two at Schroeder's will be fine.
That sounds great to me! [NOTIFY_SUCCESS],Your reservation has been made.,Is there anything else I can do?
Thank you so much! [REQ_MORE],Do you require any further assistance?,I have had a great day!
"No, that is all I need. Really appreciate it! [GOODBYE]","No worries, have a great day!",Is there anything else I need?
I need help finding a hotel in London. [OFFER(place_name=45 Park Lane); OFFER(star_rating=5)],"You may want to check out 45 Park Lane, a 5 star rated hotel.",I am looking for a hotel in London.
Sounds interesting. I'll check it out later. That will be all. [GOODBYE],Goodbye and have a great day!,I'm glad you have a good day.
"I need a hotel in Phoenix, AZ please [OFFER(place_name=Ac Hotel By Marriott Phoenix Biltmore); OFFER(star_rating=3)]",How about the 3 star Ac Hotel By Marriott Phoenix Biltmore?,"I have a room in Phoenix, AZ."
That sounds amazing [OFFER_INTENT(intent=ReserveHotel)],Do you want me to book you a room?,That sounds amazing.
"For now, don't do that, I'll tell you when, that's it [GOODBYE]","Great then, take it easy and have a good one!","So, don't you?"
Would you help me to find a hotel? [REQUEST(location=)],In which city you want the hotel?,Would you like to help me find a hotel?
"I am searching for hotels in London, UK. [OFFER(place_name=45 Park Lane); OFFER(star_rating=5); INFORM_COUNT(count=10)]",I have short listed 10 hotels of your choice and 45 Park Lane is one among them with 5 star rating.,"I am searching for hotels in London, UK."
This is great. [REQ_MORE],Do you need any other help?,I have a great day.
"No, thanks for your great help. [GOODBYE]",Have a wonderful day..bye for now..,You have a great day.
I'm searching for a hotel. [REQUEST(location=)],What metropolis ought I look for hotels in?,I'm looking for a hotel.
"I'm searching for hotels located in Paris, France. [OFFER(place_name=Ac Hotel By Marriott Paris Porte Maillot); OFFER(star_rating=4)]",There's the Ac Hotel By Marriott Paris Porte Maillot that has a 4 star rating.,"I'm searching for hotels in Paris, France."
That's perfect for me. [OFFER_INTENT(intent=ReserveHotel)],Do you wish to book the hotel?,[OFFER_INTENT(intent=ReserveHotel)]
I do not wish to book right now; that's all. [GOODBYE],Have a pleasant afternoon.,[GOODBYE]
I need to make a hotel reservation. Please help me find a 4 star hotel in London. [OFFER(place_name=Ace Hotel London); OFFER(star_rating=4); INFORM_COUNT(count=10)],There are 10 hotels that match your criteria. Ace Hotel London is a 4 star hotel.,I need to make a reservation for a 4 star hotel in London.
"That sounds good, thanks. [OFFER_INTENT(intent=ReserveHotel)]",Would you like to make a reservation?,That is good.
"No, thank you, I don't want to make the reservation right now, I need to confirm my plans before I reserve. [REQ_MORE]",Can I help you with anything else?,I have booked a reservation for the reservation.
"No, I'm all set, you have been very helpful, thank you. [GOODBYE]",Have a great day!,I'm not alone.
I would like to book a hotel room. [REQUEST(location=)],In which city would you like?,I would like to book a hotel room.
"I'm looking for a three star hotel in Seattle, WA. [OFFER(place_name=Best Western Plus Pioneer Square Hotel Downtown); OFFER(star_rating=3); INFORM_COUNT(count=10)]","There are 10 hotels. Would you like Best Western Plus Pioneer Square Hotel Downtown, It's 3 star.","I'm looking for a three star hotel in Seattle, WA."
"Yes, that sounds good. [OFFER_INTENT(intent=ReserveHotel)]",Would you like to make a reservation?,[OFFER_INTENT(intent=ReserveHotel)]
Not at the moment thank you. [REQ_MORE],Can I help with anything else?,
"No, that is all I needed. [GOODBYE]",Have a good day.,[GOODBYE]
Can you find me a three star hotel for one room? [REQUEST(location=)],Sure! What city would you like to book a hotel?,Can you find me a three star hotel for one room?
In New York. [OFFER(place_name=11 Howard); OFFER(star_rating=3); INFORM_COUNT(count=10)],"Okay, I've found 10 hotels in New York. There's a 3 star hotel called 11 Howard that meets your criteria.",The movie is in New York.
"Alright, thanks. That's all I wanted to know. [GOODBYE]",You're welcome. Have a great day!,"Alright, thanks."
"Can you find me two smoking rooms in a London hotel, please? [OFFER(place_name=Abbey Court Hotel (hyde park)); OFFER(star_rating=3); INFORM_COUNT(count=10)]","Sure, there are 10 that may work. How about the 3 star hotel called Abbey Court Hotel (hyde park)?",I have a smoking room in a London hotel.
"Sounds really great, thanks! [OFFER_INTENT(intent=ReserveHotel)]",Shall I reserve your rooms?,What a great day!
"Not now, I'm going to look around a little more. [GOODBYE]","Okay, have a good one!",I'm not in the moment.
I would like to search for a hotel for my upcoming trip [REQUEST(location=)],And in what location or area do you need the hotel?,I would like to search for a hotel for my upcoming trip.
I would like to search for New Delhi hotels [OFFER(place_name=Aloft New Delhi Aerocity); OFFER(star_rating=5); INFORM_COUNT(count=10)],There are 10 hotels that may suit your needs. One such hotel is a 5 star hotel named Aloft New Delhi Aerocity,I would like to search for New Delhi hotels [OFFER(place_name=Aloft New Delhi Aerocity); OFFER(star_rating=5); INFORM_COUNT(count=10)]
